Category,Category ID,Dua ID,Dua Title,Has Audio,Link
In Salah,in-salah,dua-insalah-12,🌿 Allahumma Ighfir Li Warhamni – Between the Two Sujood,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-12
In Salah,in-salah,dua-insalah-13,"🌿 Protection from Hell, Grave & Dajjal",Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-13
In Salah,in-salah,dua-insalah-14,🌿 The Dua of Abu Bakr (RA),Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-14
In Salah,in-salah,dua-insalah-15,🌿 Allahumma Aj‘al Li Nuran – Dua Between Sunnah & Fard of Fajr,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-15
In Salah,in-salah,dua-insalah-2,🌿 Allahumma Tahhir Qalbi – Purify My Heart,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-2
In Salah,in-salah,dua-insalah-3,🌿 Subhanaka Allahumma – Opening Praise After Takbir,No,https://saarahasad.github.io/dua-journey/dua/dua-insalah-3
In Salah,in-salah,dua-insalah-4,🌿 Allahu Akbar Kabira – Words the Angels Raced For,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-4
In Salah,in-salah,dua-insalah-5,🌿 Allahumma Ba'id Bayni – Opening Supplication of Purification,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-5
In Salah,in-salah,dua-insalah-6,🌿 Subboohun Quddoos – Lord of the Angels and the Spirit,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-6
In Salah,in-salah,dua-insalah-7,🌿 Allahumma Laka Raka’tu – Submission in Bowing,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-7
In Salah,in-salah,dua-insalah-8,🌿 Subhanaka Rabbana – Glorification with Forgiveness,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-8
In Salah,in-salah,dua-insalah-9,🌿 Rabbana wa Lakal Hamd – Abundant Praise After Rising,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-9
After Salah,after-salah,dua-after-salah-1,🌿 Allahumma Antas-Salam – Peace After Prayer,Yes,https://saarahasad.github.io/dua-journey/dua/dua-after-salah-1
Ease and Relief from Hardship,ease-hardship,dua-ease-1,🌿 Rabbana Atina Min Ladunka Rahmah – Mercy & Right Guidance,Yes,https://saarahasad.github.io/dua-journey/dua/dua-ease-1
Ease and Relief from Hardship,ease-hardship,dua-ease-2,🌿 Rabbi Ishrah Li Sadri – Expansion & Facilitation,Yes,https://saarahasad.github.io/dua-journey/dua/dua-ease-2
Ease and Relief from Hardship,ease-hardship,dua-ease-3,🌿 Allahumma La Sahla – Surrendering Ease to Allah,Yes,https://saarahasad.github.io/dua-journey/dua/dua-ease-3
Ease and Relief from Hardship,ease-hardship,dua-ease-4,🌿 La Ilaha Illallah Al-Halim Al-Karim – Words of Relief,Yes,https://saarahasad.github.io/dua-journey/dua/dua-ease-4
Ease and Relief from Hardship,ease-hardship,dua-ease-5,🌿 Allahumma Ahsin ‘Aqibatana – A Beautiful End in All Affairs,Yes,https://saarahasad.github.io/dua-journey/dua/dua-ease-5
Istikhara,istikhara,dua-istikhara-1,🌿 Rabbi Inni Lima Anzalta – A Dua of Complete Need,Yes,https://saarahasad.github.io/dua-journey/dua/dua-istikhara-1
Istikhara,istikhara,dua-istikhara-2,🌿 Allahumma Inni Astakhiruka – The Dua of Istikhara,No,https://saarahasad.github.io/dua-journey/dua/dua-istikhara-2
Istikhara,istikhara,dua-istikhara-4,🌿 Allahumma Astahdika Li Arshadi Amri – Seeking Right Guidance,No,https://saarahasad.github.io/dua-journey/dua/dua-istikhara-4
Istikhara,istikhara,dua-istikhara-5,🌿 Allahumma Inni As'aluka Min Al-Khayri Kullihi – Seeking the Best Outcome,Yes,https://saarahasad.github.io/dua-journey/dua/dua-istikhara-5
Duniya & Akhirah,duniya-akhirah,dua-duniya-akhirah-1,Rabbana Atina – A Comprehensive Dua for Good in Both Worlds,No,https://saarahasad.github.io/dua-journey/dua/dua-duniya-akhirah-1
Duniya & Akhirah,duniya-akhirah,dua-duniya-akhirah-2,Allahumma Inni As'aluka Al-'Afw Wal-'Afiyah – Forgiveness and Wellbeing,No,https://saarahasad.github.io/dua-journey/dua/dua-duniya-akhirah-2
Duniya & Akhirah,duniya-akhirah,dua-duniya-akhirah-3,"Allahumma Aslih Li Deeni – Rectifying Religion, Life, and the Hereafter",No,https://saarahasad.github.io/dua-journey/dua/dua-duniya-akhirah-3
Forgiveness,forgiveness,dua-forgiveness-1,Rabbi Ighfir Warham – A Qur’anic Dua for Forgiveness and Mercy,No,https://saarahasad.github.io/dua-journey/dua/dua-forgiveness-1
Forgiveness,forgiveness,dua-forgiveness-2,Rabbana Innana Amanna – Forgiveness and Protection from the Fire,No,https://saarahasad.github.io/dua-journey/dua/dua-forgiveness-2
Forgiveness,forgiveness,dua-forgiveness-3,Rabbana Ighfir Lana Wa Li Ikhwanina – Forgiveness for All Believers,No,https://saarahasad.github.io/dua-journey/dua/dua-forgiveness-3
Forgiveness,forgiveness,dua-forgiveness-4,Sayyidul Istighfar – The Master Supplication for Forgiveness,No,https://saarahasad.github.io/dua-journey/dua/dua-forgiveness-4
Gratitude,gratitude,dua-gratitude-1,Alhamdulillah Alladhi 'Afani – Gratitude for Life and Health,No,https://saarahasad.github.io/dua-journey/dua/dua-gratitude-1
Gratitude,gratitude,dua-gratitude-2,Alhamdu Lillahi Kathiran Tayyiban – Gratitude After Eating,No,https://saarahasad.github.io/dua-journey/dua/dua-gratitude-2
Gratitude,gratitude,dua-gratitude-3,Alhamdu Lillahi Alladhi Kafani – Gratitude Before Sleep,No,https://saarahasad.github.io/dua-journey/dua/dua-gratitude-3
Gratitude,gratitude,dua-gratitude-4,Alhamdu Lillahil-Ladhi Ahyana – Gratitude After Waking,No,https://saarahasad.github.io/dua-journey/dua/dua-gratitude-4
Gratitude,gratitude,dua-gratitude-5,Alhamdu Lillahil-Ladhi Bini'matihi Tatimmus-Salihat – Gratitude for Good Blessings,No,https://saarahasad.github.io/dua-journey/dua/dua-gratitude-5
Gratitude,gratitude,dua-gratitude-6,Alhamdu Lillahi 'Ala Kulli Hal – Gratitude in Every Situation,No,https://saarahasad.github.io/dua-journey/dua/dua-gratitude-6
Steadfastness,steadfastness,dua-steadfastness-1,Ya Muqallibal Qulub – Steadfastness of the Heart,No,https://saarahasad.github.io/dua-journey/dua/dua-steadfastness-1
Steadfastness,steadfastness,dua-steadfastness-2,Allahumma Musarrifal Qulub – Turn Our Hearts to Your Obedience,No,https://saarahasad.github.io/dua-journey/dua/dua-steadfastness-2
Steadfastness,steadfastness,dua-steadfastness-3,Allahumma Ihdini Wa Saddidni – Guidance and Correctness,No,https://saarahasad.github.io/dua-journey/dua/dua-steadfastness-3
